id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
1198,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,30 - 34,PEREMPUAN,39589,JIWA,2021
1200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35 - 39,PEREMPUAN,40649,JIWA,2021
1202,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,40 - 44,PEREMPUAN,41460,JIWA,2021
1204,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,45 - 49,PEREMPUAN,39589,JIWA,2021
1206,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,50 - 54,PEREMPUAN,38563,JIWA,2021
1208,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,55 - 59,PEREMPUAN,34559,JIWA,2021
1210,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,60 - 64,PEREMPUAN,27590,JIWA,2021
1212,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,65 - 69,PEREMPUAN,21814,JIWA,2021
1214,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,70 - 74,PEREMPUAN,13954,JIWA,2021
1216,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,75+,PEREMPUAN,18648,JIWA,2021
2051,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,05 - 09,LAKI-LAKI,47833,JIWA,2022
2053,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10 - 14,LAKI-LAKI,49943,JIWA,2022
2049,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,00 - 04,LAKI-LAKI,33057,JIWA,2022
2055,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15 - 19,LAKI-LAKI,40317,JIWA,2022
2057,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20 - 24,LAKI-LAKI,48483,JIWA,2022
2059,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25 - 29,LAKI-LAKI,47577,JIWA,2022
2061,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,30 - 34,LAKI-LAKI,44259,JIWA,2022
2063,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35 - 39,LAKI-LAKI,38238,JIWA,2022
2065,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,40 - 44,LAKI-LAKI,44290,JIWA,2022
2067,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,45 - 49,LAKI-LAKI,37564,JIWA,2022
2069,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,50 - 54,LAKI-LAKI,38763,JIWA,2022
2071,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,55 - 59,LAKI-LAKI,35033,JIWA,2022
2073,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,60 - 64,LAKI-LAKI,29962,JIWA,2022
2075,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,65 - 69,LAKI-LAKI,23430,JIWA,2022
2077,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,70 - 74,LAKI-LAKI,17801,JIWA,2022
2079,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,75+,LAKI-LAKI,21802,JIWA,2022
2052,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,05 - 09,PEREMPUAN,45038,JIWA,2022
2054,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10 - 14,PEREMPUAN,46696,JIWA,2022
2050,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,00 - 04,PEREMPUAN,30798,JIWA,2022
2056,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15 - 19,PEREMPUAN,38798,JIWA,2022
2058,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20 - 24,PEREMPUAN,46935,JIWA,2022
2060,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,25 - 29,PEREMPUAN,44504,JIWA,2022
2062,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,30 - 34,PEREMPUAN,42071,JIWA,2022
2064,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35 - 39,PEREMPUAN,37479,JIWA,2022
